Id,Title,Description,Slug,Meta Title,Meta Description
77,How can I pay for my order?,"You can pay for your order through a link shared with you by your sales representative during the order confirmation process. In case you have any queries on the same, please get in touch with your sales representative.",how-can-i-pay-for-my-order,How to Pay for Your Order | JSW One MSME Support,Learn the various payment methods available for your order at JSW One MSME. Visit our support page for detailed instructions on completing your payment.
78,What should I do if my payment fails?,"Please verify the below top-listed reasons if your payment has failed: 

1. The payment gateway does not support your chosen online payment method
2. If the bank flags a customer's account
3. If the account through which the transaction is initiated is closed or suspended
4. You entered an incorrect PIN or CVV details

If the issue persists, please contact your sales representative to enquire about it, or you can contact us at +91 7208055523 or support@jswonemsme.com.",what-should-i-do-if-my-payment-fails,Payment Failure Help | JSW One MSME Support,Experiencing a payment failure? Visit JSW One MSME's support page for guidance on resolving payment issues and completing your transaction successfully.
79,Can I get physical copy of the test certificate?,"Sorry, we do not provide physical copies of the test certificate.",can-i-get-physical-copy-of-the-test-certificate,Request Physical Test Certificate | JSW One MSME Support,Need a physical copy of your test certificate? Visit JSW One MSME's support page to learn how to request and obtain a physical test certificate for your order.
80,I am still waiting to receive my refund and/or cashback. How can I get an update?,"If applicable to your order, refunds are typically processed within seven working days from the delivery date; post which, it takes 5-7 business days for the credit to reflect into your account. If the period has passed, you can contact us at +91 7208055523 or support@jswonemsme.com.",i-am-still-waiting-to-receive-my-refund-and-or-cashback-how-can-i-get-an,Check Refund/Cashback Status | JSW One MSME Support,Still waiting for your refund or cashback? Visit JSW One MSME's support page to check the status and get assistance with your pending refund or cashback.
81,How can I get endorsed test certificate?,You can contact us on +91 7208055523 or email us at support@jswonemsme.com,how-can-i-get-endorsed-test-certificate,Get Endorsed Test Certificate | JSW One MSME Support,Learn how to obtain an endorsed test certificate for your order at JSW One MSME. Visit our support page for detailed instructions and assistance.
82,How will I be notified of existing and upcoming offers?,"Register with us to stay up-to-date on all our offers and discounts.

Click on the 'Register' button at the top right side of our home page. Fill in the form using your name, mobile number, email address and company GSTIN and click 'Submit'.",how-will-i-be-notified-of-existing-and-upcoming-offers,"Register to Stay Informed on Offers about Steel, Cement, TMT and MOre| JSW One MSME Support",Learn how to get notifications about existing and upcoming offers at JSW One MSME. Visit our support page for details on staying updated with the latest deals.
83,"My refund and/or cashback was processed. However, it hasn't been credited yet. What shall I do?","Refunds, if applicable to your order, are typically processed within seven working days from the delivery date; post which, it takes 5-7 business days for the credit to reflect into your account. If the period has passed, You can contact us at +91 7208055523 or support@jswonemsme.com.",my-refund-and-or-cashback-was-processed-however-it-hasnt-been-credited-yet,Delayed Refund/Cashback Credit | JSW One MSME Support,"If your refund/cashback hasn't been credited yet despite processing, get assistance at JSW One MSME's support page."
84,Why have I not got weighment slip from the seller's side?,"The seller's weighment slip of your order will be sent to your registered email address within three days from the invoicing date. In case of delay, You can contact us at +91 7208055523 or email us at support@jswonemsme.com.",why-have-i-not-got-weighment-slip-from-the-sellers-side,Missing Weighment Slip | JSW One MSME Support,Wondering why you haven't received a weighment slip from the seller? Find answers and solutions at JSW One MSME's support page.
85,Can I make a payment after I receive the material?,"Currently, we work on a 100% advance payment policy.",can-i-make-a-payment-after-material-delivery,Post-Delivery Payment Options | JSW One MSME Support,Discover the post-delivery payment options at JSW One MSME. Explore our support page for information and assistance.
86,I have a weighment gap; what do I do?,"In cases where the weight discrepancy exceeds the tolerance limit (+/-0.5% of the invoiced weight), re-weighing of the vehicle is permissible. Such re-weighing should be carried out exclusively at government-approved or third-party (NABL) endorsed weighbridges, ideally in your presence. 

If re-weighment is not mutually agreed upon or the discrepancy surpasses the tolerance level, you may release the vehicle while providing a conditional POD.",i-have-a-weighment-gap-what-do-i-do,Resolve Weighment Gaps | JSW One MSME Support,Facing a weighment gap? Visit JSW One MSME's support page for guidance on resolving weighment discrepancies and ensuring accurate measurements.
87,How do I get test certificate for my order?,The test certificate of your order (if applicable) will be sent to your registered email address within three days from the invoicing date.,how-do-i-get-test-certificate-for-my-order,Get Test Certificate for Your Order | JSW One MSME Support,Learn when will you obtain a test certificate for your order at JSW One MSME. Visit our support page for detailed instructions on accessing your test certificate quickly and easily.
88,Will I get refund of the re-weighment charges?,The process of re-weighment is a common phenomenon in case there is a weighment-related concern. We will not be able to refund the charges.,will-i-get-refund-of-the-re-weighment-charges,Refund for Re-Weighment Charges | JSW One MSME Support,Wondering about a refund for re-weighment charges? Visit JSW One MSME's support page for information on the refund process and eligibility for re-weighment fees.
89,"My invoice needs the correct amount, name or quantity. What do I do?","If you have any discrepancies on your invoice, please contact us at +91 7208055523 or email us at support@jswonemsme.com.",my-invoice-needs-the-correct-amount-name-or-quantity-what-do-i-do,"Correct Invoice Amount, Name, or Quantity | JSW One MSME Support","Need to correct the amount, name, or quantity on your invoice? Visit JSW One MSME's support page for guidance on making necessary adjustments to your invoice."
90,How do I get my order invoice?,"A hard copy of the invoice will be sent along with the vehicle at the time of dispatch, and a soft copy of the same will be shared on your registered email address at the time of dispatch.",how-do-i-get-my-order-invoice,Get Your Order Invoice | JSW One MSME Support,Learn how to obtain your order invoice at JSW One MSME. Visit our support page for easy steps to access and download your invoice quickly.
91,How do I avail your offers and discounts?,"If you are a repeat buyer, please connect with your respective sales representative. If you want to place an order for the first time, you can contact us at +91 7208055523 or email us at support@jswonemsme.com and we will connect you to one of your sales representatives.",how-do-i-avail-your-offers-and-discounts,How to Avail Offers and Discounts | JSW One MSME Support,Find out how to take advantage of offers and discounts at JSW One MSME. Visit our support page for step-by-step instructions and maximize your savings.
92,When can I raise a weighment issue?,"If any weighment concerns fall within your purview, kindly raise them before the vehicle's departure from the delivery location. Please provide a conditional Proof of Delivery (POD) with weighment-related remarks and the signature of the responsible person, along with a copy of the weighment slip.",when-can-i-raise-a-weighment-issue,Raise Weighment Issues Promptly | JSW One MSME Support,Learn when and how to raise weighment issues at JSW One MSME. Visit our support page for detailed guidance and timely assistance.
93,Can I make a payment using credit card?,You can make payment through Netbanking through the website or via NEFT/RTGS mode.,can-i-make-a-payment-using-credit-card,Credit Card Payment Option Guide | JSW One MSME Support,Discover how to conveniently make payments using a credit card at JSW One MSME. Explore our support page for step-by-step instructions and assistance.
94,The amount was debited from my account but the order still needs to be confirmed. How do I get an update?,"The order confirmation step happens within a few hours of the business operating timeframe based on certain internal checks or if there is a delay in the payment getting credited into our account. For more clarity, please contact your sales representative to enquire about the same, or you can contact us at +91 7208055523 or support@jswonemsme.com.",the-amount-was-debited-from-my-account-but-the-order-still-needs-to-be,Resolve Payment Issues with Orders | JSW One MSME Support,Payment debited but order not confirmed? Visit JSW One MSME's support page for assistance in resolving payment and order confirmation issues.
95,I have received an email asking me to add bank details. Is that a genuine email?,"Do not worry; we request you to click on the link and add your bank details so that any applicable refund or cashback can go through successfully.
There will be an authentication step while you complete the process; hence, please ensure that your registered mobile number is active.",i-have-received-an-email-asking-me-to-add-bank-details-is-that-a-genuine,Verify Email Requests for Bank Details | JSW One MSME Support,Unsure about an email asking for bank details? Visit JSW One MSME's support page to verify the authenticity and ensure your information's security.
96,I cannot avail the discount being offered to me during payment stage. What to do in this case?,Please contact your sales representative to enquire about the same or you can contact us on +91 7208055523 or email us at support@jswonemsme.com.,i-cannot-avail-the-discount-being-offered-to-me-during-payment-stage-what-to,Resolve Discount Issues at Payment Stage | Get Support from JSW One MSME,Encountering issues with availing discounts during payment? Get solutions at JSW One MSME's support page for seamless discount redemption.
97,What are the types of finance options available with you?,"JSW One MSME is launching helpful financing options that will go live soon. Register to stay up-to-date. 

Click on the 'Register' button at the top right side of our home page. Fill in the form using your name, mobile number, email address and company GSTIN and click 'Submit'.",what-are-the-types-of-finance-options-available-with-you,Discover Versatile Finance Options at JSW One MSME,Discover the different types of finance options available at JSW One MSME. Explore our support page for detailed information on financing solutions tailored to your business needs.
98,"The UTR number shared with me, seems to be incorrect. What do I do?",You can contact us on +91 7208055523 or email us at support@jswonemsme.com.,the-utr-number-shared-with-me-seems-to-be-incorrect-what-do-i-do,Resolve Incorrect UTR Number Issues | JSW One MSME Support,""" Need help with an incorrect UTR number for your refund or cashback? Visit JSW One MSME's support page for step-by-step guidance on resolving UTR number issues efficiently."""
99,Where can I view the ledger for my company account?,"You can view your ledger by clicking on your 'Name' on the top navigation and then clicking on 'Ledger.' Through the ledger you will be able to access the ledger balance with ledger entries with options to download, email and request for ledger statement",where-can-i-view-the-ledger-for-my-company-account,View Company Account Ledger | JSW One MSME Help & Support,Discover where to access and view the ledger for your company account at JSW One MSME. Get detailed insights and manage your finances effectively.
100,Can I change my delivery type after order confirmation?,Any delivery-related changes can be made before the order is placed. We cannot alter the delivery mode post-order confirmation.,can-i-change-my-delivery-type-after-order-confirmation,Can I Change My Delivery Type After Order Confirmation? | JSW One MSME Help & Support,Learn about changing delivery types after confirming your order at JSW One MSME. Find answers to your queries and get support for your orders here.
101,Can I reinstate my cancelled order?,"An order, once processed for cancellation, cannot be reinstated. Feel free to discuss it with your sales representative for further clarity or email us at support@jswonemsme.com.",can-i-reinstate-my-cancelled-order,JSW One MSME | Reinstating Cancelled Orders: What You Need to Know,Find out if you can reinstate a cancelled order on JSW One's platform and learn about the process involved in reinstating orders for a seamless experience.
102,How do I logout of my account?,"You can logout of your account by clicking on your 'Name' on the top right of the website navigation to access the logout button. To successfully log out of the website, please click on 'Logout'.",how-do-i-log-out-of-my-account,JSW One MSME | Logging Out of Your Account: Step-by-Step Guide,Follow our step-by-step guide to log out of your account on JSW One's platform and ensure the security of your information and account access.
103,How can I reactivate my company account?,Please call us on +91 7208055523 or email us at support@jswonemsme.com. We will help you resolve this issue.,how-can-i-reactivate-my-company-account,Reactivating Your Company Account on JSW One MSME,Learn how to reactivate your company account on JSW One MSME and regain access to all the features and benefits for seamless business operations.
104,I have an issue with the quality of the material; I will not unload the material. What shall I do in this case?,You can raise a complaint about material quality within 48 hours of delivery. Please go through the 'Return Policy' section to know more.,i-have-an-issue-with-the-quality-of-the-material-i-will-not-unload-the,JSW One MSME | Quality Issue During Delivery: What to Do,"If you encounter a quality issue with the material during delivery from JSW One, learn about the steps to take and how to address the situation without unloading the material."
105,I did not receive the order confirmation. What do I do?,"The order confirmation step happens within a few hours of the business operating timeframe based on certain internal checks or if there is a delay in the payment getting credited into our account. 

For more clarity, please contact your sales representative to enquire about the same, or you can contact us at +91 7208055523 or support@jswonemsme.com.",i-did-not-receive-the-order-confirmation-what-do-i-do,JSW One MSME | Missing Order Confirmation: Next Steps,"If you haven't received your order confirmation from JSW One MSME, learn what steps to take next to ensure a smooth order process and get the information you need."
106,What are the different types of products that are available?,"We sell varieties of Mild steel, Stainless steel, Structural steel, Welding consumables, TMT, and Cement. Please browse through the top section of the home page to learn more.",what-are-the-different-types-of-products-that-are-available,JSW One MSME | Explore the Range: Different Types of Products Available,"Discover the wide range of products available on JSW One MSME, including steel, TMT, cement, and more. Explore our product offerings and find what suits your needs best."
107,In how many days can I return the products delivered to me?,You can raise a complaint about material quality within 48 hours of delivery. Please go through the 'Return Policy' section to know more.,in-how-many-days-can-i-return-the-products-delivered-to-me,JSW One MSME | Return Policy: Timeframe for Product Returns,Understand the timeframe within which you can return products delivered to you on JSW One MSME. Familiarize yourself with our return policy for a hassle-free experience.
108,How do I add special delivery instructions?,Special delivery or order-related instructions can be added before the order is placed. Please get in touch with your sales representative for the same.,how-do-i-add-special-delivery-instructions,JSW One MSME| Adding Special Delivery Instructions to Your Order,Learn how to add special delivery instructions to your order on JSW One MSME to ensure smooth and customized delivery of your products.
