linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
the-importance-of-quality-control-in-peb-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
550-vs-550d-tmt-bars-which-one-should-you-choose,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
is-the-real-estate-industry-set-to-bounce-back-in-2022,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.932; metaDescription: 0.976; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.93); metaDescription (Similarity: 0.98); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to0__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to0__0""><a href=""#difflib_chg_to0__top"">t</a></td><td class=""diff_header"" id=""from0_1"">1</td><td nowrap=""nowrap"">real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;bounce&nbsp;back&nbsp;in&nbsp;2022&nbsp;jsw&nbsp;one&nbsp;msm</td><td class=""diff_next""><a href=""#difflib_chg_to0__top"">t</a></td><td class=""diff_header"" id=""to0_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;bounce&nbsp;back&nbsp;in&nbsp;2022&nbsp;jsw&nbsp;on</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">e&nbsp;blog</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">e&nbsp;msme&nbsp;blog</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to1__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to1__0""><a href=""#difflib_chg_to1__top"">t</a></td><td class=""diff_header"" id=""from1_1"">1</td><td nowrap=""nowrap"">covid&nbsp;19&nbsp;greatly&nbsp;impacted&nbsp;the&nbsp;real&nbsp;estate&nbsp;sector&nbsp;and&nbsp;brought</td><td class=""diff_next""><a href=""#difflib_chg_to1__top"">t</a></td><td class=""diff_header"" id=""to1_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>covid&nbsp;19&nbsp;greatly&nbsp;impacted&nbsp;the&nbsp;real&nbsp;estate&nbsp;sector&nbsp;and&nbsp;br</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;growth&nbsp;to&nbsp;a&nbsp;sudden&nbsp;halt&nbsp;read&nbsp;on&nbsp;to&nbsp;know&nbsp;in&nbsp;detail&nbsp;about&nbsp;the</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ought&nbsp;growth&nbsp;to&nbsp;a&nbsp;sudden&nbsp;halt&nbsp;read&nbsp;on&nbsp;to&nbsp;know&nbsp;in&nbsp;detail&nbsp;abou</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;growth</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">t&nbsp;the&nbsp;real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;growth</td></tr>
        </tbody>
    </table>"
combating-the-steel-price-fluctuations-in-india-what-are-your-options-as-an,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
budgeting-strategies-for-managing-cement-price-fluctuations,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
unveiling-the-characteristics-types-and-applications-of-colour-coated-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
enhancing-solar-panel-efficiency-with-steel-support-structures,❌ Missing,,,❌,,
the-future-of-steel-is-green-innovation-in-the-global-steel-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cracking-the-motorcycle-code-5-important-steels-used-in-two-wheelers,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-tubing-and-piping-are-tech-enabled-marketplaces-the-future-for-the,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
