id,title,metaTitle,metaDescription,categoryName,tagsList,conceptsList,linkUrl,createdAt,updatedAt,timeDuration,content
6kZ0m21iga2Q4cYpRHspGg,Simple ways to optimise your manufacturing plant’s productivity ,Buy Steel Online | Industrial Materials Marketplace | JSW One MSME,"Buy the best quality steel, welding consumables, TMT, and cement online at JSW One MSME - the online marketplace for manufacturing & construction material requirements.",Business,"business, steel business, MSMEs, Manufacturing, streamlining workflow",,business,2021-09-23T07:45:13.992Z,2025-01-27T06:36:34.539Z,3 minutes,"Contentful -
How can MSMEs make their manufacturing processes more efficient to save time and money?
Key Highlights
• Go through your workflows and production data to find potential causes of bottlenecks
• RFID and advanced analytics are just two technologies playing a key part in the evolution of the steel industry
• Machinery and technology may be important but an efficient workforce creates winning solutions
• Businesses that master demand forecasting can control their destiny
Efficiently managed factories are more productive, profitable, and have happier employees. Not surprisingly, manufacturers are constantly looking for ways to improve efficiency across their production processes.
Here are a few strategies that can go a long way towards making your manufacturing plant more efficient.
Streamline your workflow
A manufacturing plant needs to function like clockwork. Multiple processes and production lines must work in harmony, with one process taking off when another one ends. Bottlenecks in any part of the manufacturing unit can have a cascading impact. For example, a delay in the supply of raw material can throw the entire production cycle out of gear, and lead to losses.
One of the ways to improve efficiency is to closely track and review your workflows. Analyse your production data to pinpoint areas of concern or flag potential bottlenecks. Look at different aspects of your workflow, including human resources, machinery, technology, and processes. Is one shift more efficient than the other? What makes it so? Is one line more productive than another? Is there a lot of downtime on a particular piece of machinery?
Systems such as MES (Manufacturing Execution System) and ERP (Enterprise Resource Planning) are designed to help managers and decision-makers optimise workflows on the shop floor and improve production. Research needs to be conducted to find the right tool for your organisation, as each tool has its advantages and disadvantages.
Invest in technology
Technology is a powerful enabler of efficiency. If you are looking at growth and scale, you must invest in upgrading your equipment and plants. The steel industry globally is increasingly investing in automation. Manufacturers are using sensors, information technology, industrial robots, and AI to significantly improve productivity and quality and reduce costs and time.
Technologies such as RFID (radio-frequency identification) are helping manufacturers maintain optimal inventory levels and reduce costs of inventory management. They leverage digital data stored in RFID tags and codes to identify individual items. By scanning RFID, organisations can keep track of inventory levels, sales, inventory gaps, and sale patterns.
Quality employee training
Investments in technology without corresponding investments in training your employees and upgrading their skills could be counterproductive. While it is important to train employees on operating specific pieces of equipment, do not ignore coaching the workforce on broader concepts such as workflow management, information technology, and time management.
It is equally important to train employees in quality improvement and safety measures. A single quality or safety incident can hurt the reputation of a company. Organisations can invest in seminars and training sessions from experts in various disciplines to up-skill the workforce and ensure that the same language and ethos permeates throughout the organisation at various levels.
Manage your inventory
Maintaining optimal inventory levels is a fine art – it requires a deep understanding of not only your own production processes but also an insight into the supply chain dynamics and customer demand. The task is challenging, as managers must hold enough inventory to ensure smooth production while minimizing the risks and costs of stocking too much. Techniques such as just-in-time inventory management, and minimum order quantity must be studied and assessed by individual benefits to identify the right fit for an organisation. Many steel units use predictive analytics and supply chain software to streamline their inventory control processes. These systems automatically alert managers of expected supply chain bottlenecks and delays. Demand forecasting, based on historical data, can also help steel units optimise inventory. Forecasting can tell you, for example, how many units of your product customers are likely to buy in the next three months. Based on this data, you can plan your inventory and production cycles.
Mastering demand forecasting and regulated inventory management is the path to optimising your plant’s productivity. The best way to do this is by staying is by upgrading and updating your systems on a regular basis.
"
208KLHYMg3KG7UXeHMxD6B,"What is slab, beam, column, and footing construction?",Buy Steel Online | Industrial Materials Marketplace | JSW One MSME,"Buy the best quality steel, welding consumables, TMT, and cement online at JSW One MSME - the online marketplace for manufacturing & construction material requirements.",Business,,,what-is-slab-beam-column-and-footing-construction,2024-06-13T11:00:14.774Z,2024-06-13T11:00:14.774Z,3 minutes,"Construction is an intricate process that involves numerous components working together to create a stable, durable structure. Slabs, beams, columns, and footings ensure the structural integrity of buildings. In this blog, we will delve into the specifics of each element and the materials commonly used, focusing on mild steel (MS) and its properties.
Slab construction
What is a slab?
A slab is a flat, horizontal structural element that creates building floors and ceilings. It provides a solid surface and distributes loads to the underlying beams and columns. Slabs are typically made from reinforced concrete, which offers excellent compressive strength.
Types of slabs

• One-way slab: supported by beams on two opposite sides, where loads are transferred in one direction.
• Two-way slab: supported by beams on all four sides, distributing loads in two directions.
• Flat slab: directly supported by columns without beams, ideal for commercial buildings.
• Hollow core slab: precast slabs with hollow sections to reduce weight and improve efficiency.
Materials used
Steel reinforcement is critical in slab construction. Mild steel (MS), known for its ductility and strength, is often used as reinforcing bars (rebars). The price of mild steel per kg can vary based on market conditions but is a significant factor in the overall construction cost.
Beam construction 

What is a beam?
A beam is a horizontal structural element that supports loads from the slab and transfers them to columns and footings. By resisting bending forces, beams are essential for maintaining a building's structural integrity. 



Beams are often made from steel due to their high strength-to-weight ratio. Mild steel is commonly used, offering a balance of strength, flexibility, and cost-effectiveness. The mild steel price per kg is a crucial consideration in budgeting for beam construction.
Column construction

What is a column?
A column is a vertical structural element that transfers loads from the beams and slabs to the footings. Columns are essential for supporting a building's weight and maintaining its stability.
Types of columns

• Rectangular or square columns: common in residential buildings for their simplicity and ease of construction.
• Circular columns: often used in high-rise buildings and bridges due to their aesthetic appeal and uniform load distribution.
• L- and t- shaped columns: used in corner and T-junctions of structures to support adjacent walls and beams.
• 
Materials used
Steel columns provide significant advantages due to their strength and ability to withstand compressive loads. Mild steel, known for its excellent properties, is a preferred choice in column construction.
Footing construction
What is a footing?
Footings are the foundational elements that distribute the structure's load to the soil. They are critical in preventing excessive settlement and ensuring the building's stability.
Types of footings

• Strip footing: continuous strip of concrete supporting load-bearing walls.
• Isolated footing: supports individual columns, typically used in residential buildings.
• Raft footing: large continuous slab supporting multiple columns and walls, ideal for poor soil conditions.
• Pile footing is used when the soil is weak. It involves long columns (piles) driven deep into the ground.

Types of beams
Materials used

Materials used

Footings are usually made from reinforced concrete, incorporating steel reinforcement to enhance tensile strength, ductility  and durability. Due to their favourable properties, mild steel rebars are commonly used in footing construction.
Steel in construction
Steel is a fundamental material in modern construction, known for its versatility and strength. Steel beams, such as ISMB, NPB, WPB, and UB, are used based on specific structural requirements. Mild steel is widely used due to its balance of strength, ductility, and affordability. The properties of mild steel, including its tensile strength and resistance to corrosion, make it an ideal choice for reinforcing concrete elements.
Mild steel properties

• Ductility: allows for significant deformation before failure, providing warning signs of structural issues.
• Strength: offers high tensile strength, used in reinforcing concrete structures.
• Cost-effectiveness: relatively low cost per kg compared to other materials, making it a popular choice in construction.
A stable building structure relies on slabs, beams, columns, and footings working together to support loads and ensure stability. Slabs make up the floors and ceilings, distributing loads to the beams. The beams then transfer these loads to the vertical columns, which carry the forces down to the footings. Footings spread these loads over a larger area to prevent excessive settlement and ensure the structure remains stable. This hierarchical load transfer—from slabs to beams to columns to footings—ensures effective and safe distribution of loads to the ground, maintaining the building's integrity."
tBt2hSL31Scnm1kwA5xJd,Difference between Galvanized and Galvalume,Difference between Galvanized and Galvalume test one,Product test,Product,"galvalume, galvanised, steel, metals, galvanised steel, zinc, durability, roof",,difference-between-galvanized-and-galvalume,2021-10-21T12:23:04.386Z,2024-04-15T09:19:19.593Z,3 minutes,"Galvanised and galvalume steel are types of steel that are essentially used in building strong and durable structures and most often used in making roofs. To have an in-depth understanding of these metals and their usage, it is important to first understand what these teams mean, what makes these two types of steel different from each other and how to choose the right material. Here’s a detailed explanation for the same.
Both these metals are not all that different from each other by definition. That said, the advantages and drawbacks of galvalume and galvanized steel differ significantly, including their longevity, durability, and performance.
Galvanized Steel
This type of steel consists of a piece of steel that is cleaned and dipped into molten zinc. Following this, the zinc hardens onto the steel, thus creating a coating of extra protection. This enables the steel to combat dents, nicks, corrosion and rust.
Galvanized steel is the go-to option when it comes to construction, fabrication and manufacturing because of its durability and high resistance to corrosion. Galvanization can be found on a majority of steel structures. In general, galvanized steel will last nearly 15-20 years, requiring minimal maintenance.
One of the significant drawbacks of galvanized steel is that if the coating of zinc is scratched off the surface, the steel is left totally unprotected and subject to failure.
Galvalume
First, a tad bit of background. Galvalume was successfully invented in 1972 by Bethlehem Steel. It is basically a trademarked name, but many individuals use the term generically to describe a product of metal roofing that consists of a steel coil coated with an alloy of metal.
Galvalume consists of a sheet of steel that is dipped in a coating of aluminium (55%), zinc (43.4%), and silicon (1.6%). This unique coating imparts a greater protection to steel from the elements, which gives it the ability to outlast and outperform traditional galvanized steel.
Overall, galvalume is ideal as a roof, trim, wall, accent and much more in a majority of building applications. Moreover, it has proven its calibre in the most extreme and harsh environments, including high-temperature areas, hurricane zones, and regions that receive heavy rainfall or snowfall.
Galvanized vs Galvalume
As can be seen, the primary difference between galvanized and galvalume

is the type of protective coating around each sheet of steel. Galvanized steel has a coating of zinc, whereas galvalume’s coating is a combination of zinc, aluminium and silicon.
Both metal types are ideal for roofing, and each has its own set of advantages and disadvantages. Galvalume is much more durable and has a greater longevity, with a lifespan that is twice that of galvanized steel. Galvanized steel, on the other hand, is more cost-effective, while still offering great performance. This makes it an ideal choice for those on a stringent budget.
"
4wrb9LDdf5veqCFqaSoqAs,Test Article,Test one abc,My test article,Business,,,test-article,2024-04-15T08:27:26.288Z,2024-04-15T08:28:21.506Z,N/A,
5kzZhkq3q2Q0tuqSIwVpII,How car sales are accelerating the steel sector ,Car steels,vfdf,Technology," steel products, vehicle frame, buy steel, steel marketplace, automotive steel",,how-car-sales-are-accelerating-the-steel-sector,2021-12-03T06:04:55.087Z,2024-04-15T06:12:28.396Z,4 minutes and 30 seconds,"As of 2020, India was the world’s fifth-largest auto market, producing more than 22 million vehicles. This included two wheelers, three wheelers, quadricycles, passenger vehicles, and commercial vehicles. In 2019, multiple issues caused India’s auto economy to contract. Key among these were regulatory, rising input costs, semiconductor shortages, taxation, insufficient credit, and reduced spend on non-essentials. Even as the industry scrambled to offset this slowdown, the Covid-19 pandemic struck unexpectedly in two back-to-back waves.
India’s auto sector - gaining momentum
By August 2021, improved vaccination rates and preventive measures paid off and the devastating coronavirus is in a recession. As the rest of the Indian economy opened up progressively and the supply chain crisis in the auto sector eased up a bit, car sales also began emerging out of the slump.
Between September and October 2021, car makers posted a 40.1 percent growth in sales. The country’s passenger vehicle (cars, utility vehicles, vans) market is poised to hit 5 million-plus units by the end of 2024. Cars represent a major chunk of the passenger market.
Global automakers increasingly see India as a promising destination for automotive engineering design services (AEDS), especially for compact cars. This segment is expected to grow further on the back of growing acceptance of Indian engineering skills and government incentives. Battery electric and hydrogen fuel vehicles, as well as other advanced mobility options are also on the government’s agenda.

New incentives for auto industry
The production-linked incentive (PLI) scheme for automotive and auto components, announced this September is expected to increase India's share of the global automotive pie, apart from adding more jobs, in the next five years. The initiative incentivizes auto OEMs and component manufacturers working on advanced technology products and aims to attract fresh investments to these sectors over the next five years. Overall, these PLI incentives are expected to boost the production and export of advanced vehicles. New vehicle sales will also experience potential tailwinds from the vehicle scrappage policy announced by the government. As per the new policy, old, faulty and polluting commercial and passenger vehicles will be marked for deregistration. Besides, under the Automotive Mission Plan, both the government and auto industry envision a three-fold rise in the industry’s revenue in the next five years.
Currently the auto sector contributes 7.1 percent of India’s GDP; the plan will increase this contribution to 12 percent as well as add millions of jobs in the sector. India aspires to be a $5 trillion economy by 2025, and the automotive sector is key to this growth.
Demand for high-strength auto steel
While alternatives materials (plastic, aluminum, composites) have been suggested from time to time for use in car manufacture,
automotive steel
remains the most preferred raw material across the world. And this has been the case for almost a century now. The reasons being its high-strength, durability, and reliability.
At a per-unit-level, nearly 840kg of steel goes into each compact car. On average, this alloy accounts for 60% of a vehicle’s weight. Most of this steel is used in the body, closures, and
vehicle frame
, including powertrain, engine, tires, and suspension system components. Not surprisingly, the automotive industry contributes about 10-12% of the overall steel demand in India. The majority of new vehicles use
advanced high strength steels
.
Need for steel industry to scale production
A thriving industry like the automotive sector needs a steady and timely supply of high-quality
automotive steel
. The country's steel production capacity stands at 143.91 million tons; the private sector accounts for more than four-fifths of this output. The top steel producers, including private and public sector players, have significant throughputs, with respect to automotive steel

of every variety – light, mid, and high-strength. It’s certainly one of those win-win scenarios.
In order to make the best use of this favorable circumstance in the
steel marketplace
, India’s steel manufacturers would need to ramp up production by a factor of 2 or even 3 in order to keep pace with the auto sector that is gunning for growth. Apart from streamlining production, it’s important that steel industry participants offer comprehensive solutions that address all of their clients’ steel requirements. After all, one size doesn’t fit all.  For instance, MSMEs have
high quality, cost and delivery expectations
. They like to work with steel solution providers who can also provide after-sales insights and inputs.  So, the industry definitely needs to do a lot more in order to exceed the demands of various clients, especially micro, small and medium businesses.
For consultation and assistance, contact JSW One Experts

Focus on sustainability
While pursuing rapid growth, steel makers need to embrace eco-friendly initiatives that will help make the industry more sustainable. At JSW, we design products keeping in mind the need to protect the environment and reduce consumption of scarce natural resources. By its very nature, steel is a one-of-its-kind sustainable material. Once it is made, it can be recycled, almost infinitely. Even so, we are committed to continuously pushing the envelope of possibility in the sustainability area.
More recently,
electrical grade steel developed by our researchers
is helping reduce power losses and our greenhouse gas footprint. Our Platina tinplate steel, another recent product, is targeted at the packaging industry and is considered a better and sustainable alternative to single-use plastic. For context, India has pledged to eliminate single-use plastics by 2022."
37PmI1lvSJ3Tv03rHtJmtu,How MSMEs can grow their customer base and generate leads digitally,N/A,N/A,Business,"steel MSMEs, MSMEs, Business, Digital Strategies, CRM, Digital, grow your business",,how-msmes-can-grow-their-customer-base-and-generate-leads-digitally,2021-10-28T07:30:38.926Z,2023-08-01T05:52:38.606Z,3 minutes,"Digital strategies that growing businesses can employ, to widen reach and create access to customers across new markets.
Article at a glance
• Strong customer understanding is key for business growth online
• From effective digital marketing to establishing partnerships, there are several ways to widen your customer base.
• Every method of online growth may not be applicable for your business. Choose wisely.
Businesses whether big or small, aim to grow and expand their reach. One of the ways in which many businesses, particularly MSMEs, can look to drive growth is through digital marketing. Whether your business is B2B (business conducted between one business and another, such as a wholesaler and retailer) or B2C (a direct-to-retail or customer facing business, such as a storefront), you can use digital to build your brand, reach new customers and generate more business. Here is a roadmap to getting your business to grow and generate leads via digital:
Is your customer online?
It might seem fairly obvious. However, there is a strong reason why you should think long and hard about the answer. The number of active internet users in 2020 was about 300 million plus. That means a large population isn’t active on the internet. If your potential customer is not among the 300 million active internet users, you may want to consider more traditional approaches. You must understand who your customer is, what she does online and what her interests are before formulating your digital strategy.
Push versus pull
If your customer is active online, there are two ways you can reach them: pushing your content to them (targeted advertising) or pulling them to your content (content and search marketing). Platforms such as Google and Facebook allow you to target specific sets of audiences and pull them to your content, website or online store. You can target audiences by interest, location, keywords and many other factors. A more organic way of reaching potential customers is through creating content that people can find search engines. Search engines like Google drive anywhere between 60-90% of a website’s traffic. Search engine optimization is the art and science of creating content that ranks on sites like Google. For example, if you are a manufacturer of surgical instruments, you would want to rank among the top three results when users search for surgical instrument manufacturers on Google.
Targeting the elusive one
If your customer does not use the internet heavily or if their interests are not known, then previously collected customer data can be used to reach them. Social media platforms allow you to leverage existing customer databases. Phone numbers, names, email addresses and other data can help you directly target your customers. Some online advertising platforms such as Facebook and Google even allow for ‘lookalike audiences’ where potential new customers with similar profiles to those of your existing customers can be targeted.
CRM to the rescue
Customer databases can also be leveraged to reach out to customers directly. Since you have a means to reach out to them - email addresses, phone numbers etc., can all be fed into CRM (customer relationship management) tools that are available via the internet. These tools allow you to send marketing content directly to your customers. Powerful analytics and reports help you understand what appeals to them, and what does not, helping you hone your marketing strategy. You could always reach out to them directly via email or messages, however the chances of success would most definitely be much lower. Too many messages and emails may lead to frustrated customers; irrelevant content on the other hand may confuse them about your intentions.
Rewarding loyalty and digital referrals
Do you have repeat customers who prefer doing business with you? You can grow your database (and potential leads) by incentivising these existing customers to share information about their network via referrals. From discounts on purchases, to rewards such as bonuses, vacations, and cashbacks etc., there are many new and innovative ways to reach potential new customers. The best part? Quality leads are often easily sourced, and sometimes at fractional costs versus just running ads on the internet.
Final note:
The key to unlocking strong digital outcomes for your business is understanding your customers and their behaviour on the internet. If you know what they do, where they go, and what kind of content they consume, you can easily find ways to reach them. The final step relies on your ability to persuade them, and make the sale."
6cxMQaGlc7Us37p87XwHpu,All,All,All the blogs and articles listed,N/A,,,all,2023-06-23T07:29:33.106Z,2023-06-23T07:29:33.106Z,N/A,
2cIgR8IKK4uG8dFTSkKs1T,How to use google search to help grow your business,Sharan,Sharan,Business,"Google , Google Search, Business, Steel , Steel Business, MSMEs",,how-to-use-google-search-to-help-grow-your-business,2021-09-23T07:35:29.482Z,2022-11-14T12:26:45.341Z,4 minutes ,"Make the best of Google’s search features to expand your business’s reach
Key highlights:
• Ranking on page 1 of Google search is the key to getting traffic to your website
• Great content has the potential to rank higher on Google
• Take advantage of the My Business Account feature to be visible to nearby customers

If you are thinking of expanding your steel business and want to acquire new customers digitally, a website is the first place to start. But how do you get prospective customers to discover your website and visit it? The answer is simple: optimise Google search.
Billions of people use Google every day to research a variety of products and services. For example, if you manufacture steel bearings, you would want to be visible to customers searching for ‘steel bearing manufacturers’ on Google search, wouldn’t you? Here’s how you can make that happen.
How Google search works: 101
Google innumerable documents in its search index. When a user searches for ‘steel bearing manufacturers’, it retrieves relevant content (websites, web pages, videos, ads, businesses etc) and shows it to you as search results. The search results are ranked in order of relevance, automated by a complex algorithm.
Most users don’t look beyond the first page of results, which is a listing of the 10 most relevant web pages matching a query. Now, if you don’t rank among these 10 results, the likelihood of you getting a lot of traffic from the search term ‘steel bearing manufacturers’ is minuscule.
So, the objective is always to try and rank in the top 10 results of Google search for queries that are relevant to you.
How to improve your ranking on Google search?
How does Google rank a website or a web page in relation to a user query? One of the most important factors (but not the only one, mind you) is the content of your website. This could be in the form of blogs, articles, videos, etc...
Do you have content that is relevant to the query ‘steel bearing manufacturers’ or any other, applicable key terms? Is that content unique? Is it better in quality than other websites that already rank in the top 10? Is the content updated regularly? These are a few points to keep in mind when improving your search-ability.
While there are many steps that you can take to improve your ranking, building great content should be the first.
Starting your content journey
Where should you start your content journey? While there are several good third-party tools, we would recommend that you start with the
Google Keyword Planner
. You can access this by creating a free Google Adwords account with any Gmail ID. The planner will help you narrow down on the kind of terms that users type into Google. For example, ‘steel bearing manufacturer’ has lower than 10 global searches a month, while ‘steel bearings’ and ‘steel ball bearings’ have anywhere between 100 and 1000 searches per month. The planner also gives you other keyword suggestions related to your business: ‘stainless steel bearings’, ‘metal ball bearings’ etc.
Once you have a list of keywords, type them into Google and look at the sites or pages that rank for those search terms. You can take cues from those sites and create better or more valuable content than them. Intelligently written and regularly updated content will translate into more traffic and, eventually, more customers.
More ways to grow with Google
Beyond Google Search, there are many other aspects that customers may consider before making a decision to reach out. Therefore it is necessary to cover all your bases, so that customers believe in the legitimacy of your business. The first step is to list your business on Google.
"
2r2FrWAym7jzgyK8Gkzaik,The PLI scheme: specialty steel gets special incentives,N/A,N/A,News,,,the-pli-scheme-specialty-steel-gets-special-incentives,2021-11-30T07:12:48.133Z,2022-09-06T11:44:24.355Z,3 minutes and 30 seconds,"Specialty steel gets special incentives
How will the recent production-linked incentive scheme for specialty steel impact the industry
Key Takeaways:
• In July 2021, the Indian government announced production-linked incentives for the specialty steel industry
• The scheme provides financial incentives to promote manufacture of specialty steel in the country
• The government has planned an outlay of Rs 6322 crore towards this scheme
Introduction to PLI
In the 2021-22 budget in February this year, the finance minister announced an outlay of 1.9 lakh crore for production-linked incentive schemes across 13 sectors. Of these, PLI schemes for three sectors had been approved in March 2020 and 10 sectors in November 2020.
In July 2021, the cabinet gave its nod for PLIs in specialty steel. Many industry insiders believe this could be a game-changer for the industry.
So, what exactly is a production-linked incentive and why is the government offering them?
The fundamental idea behind the incentive scheme is to boost domestic production by offering financial incentives to manufacturers. The incentive is offered as a percentage of incremental sales and varies from sector to sector – ranging from 4-15%.
PLIs are aimed at achieving many objectives:
• Increase domestic production
• Reduce imports
• Make Indian products more competitive both domestically and internationally
• Attract investments, both domestic and international
• Create a greater number of jobs
PLI and the steel sector
The PLI scheme for specialty steel, announced in July 2021, has been whole-heartedly welcomed by the steel industry.
Though India is the second largest producer of steel in the world, specialty or value-added steel accounts for only 18% of the total. In 2020-21, specialty steel accounted for 18mt of the 102mt steel produced in the country. India was a net importer of value-added steel (4mt), resulting in a forex outgo of Rs 30,000 crore.
The incentive scheme aims to boost the manufacture of higher grades of steel in the country and reduce our dependence on imports and reduce input cost for downstream MSME manufacturers.
What are the incentives and for whom?
The specialty steel PLI scheme offers three slabs of incentives with the lowest being 4 per cent and the highest being 12 per cent. These incentives are offered on incremental sales across five categories of specialty steel over the next five years. The first incentive will be payable in FY23-24 based on incremental sales achieved in 2022-23.
The incentive pay out is calculated according to the following formula:
A: Incremental sales in current year over previous year (or base year)
B: Weighted average sale price (exclusive of tax) in the current year
C: Weighted average sale price (exclusive of tax) in the base year
Incentive = (A/B) x (lower of B or C) x (PLI rate as applicable / 100)
What categories of specialty steel are eligible?
Five categories of specialty steel are covered:
• High strength/ wear resistant steel
• Coated/ plated steel products
• Alloy steel products and steel wires
• Specialty rails
• Electrical steel
The incentives are based on the category of steel being manufactured. For example, electrical steel or cold rolled grain-oriented steel gets the maximum incentive of 12%.
Who is eligible to apply for the incentives?
There are no special eligibility criteria. Any company manufacturing specialty grades of steel can apply for the scheme. The only condition is that the input material should have been melted or poured in India to ensure that the products are manufactured end-to-end in India.
The potential impact of the PLI
• Total incentives: Rs 6322 crore
• Additional investments expected: Rs 40,000 crore
• Employment: 525,000 jobs including 60k direct jobs
• Capacity addition: 25mt
Besides these benefits, the PLI scheme for specialty steel is expected to achieve three key outcomes: 1) reduce our dependence on imports for value-added steel, 2) reduce supply chain issues for local manufacturers as more specialty steel will be manufactured end-to-end in India and 3) increase investments in technology in the sector and, ultimately, enable the domestic industry to produce higher and higher grades of steel."
6fMVjXeoG6E3PHzmxxA3jc,The future of MSMEs in India: an exploration,N/A,N/A,Technology,"MSMEs, MSME, Covid-19, steel, the future of MSMEs, India",,the-future-of-msmes-in-india-an-exploration,2021-12-16T09:17:28.373Z,2022-09-05T12:25:44.936Z,3 minutes,"Micro, Small and Medium Enterprises (MSMEs) play a key role when it comes to the global economy. MSMEs create a vast number of job opportunities, drive innovation, and function as an incubator for future multinational corporations.
MSMEs, which contribute to nearly 45% of India’s GDP (gross domestic product), are suffering primarily due to supply and demand issues. Moreover, they are rapidly losing their small reserves and may not be able to survive the crisis created by the COVID-19 pandemic, unless they are provided substantive support immediately.
Challenges faced by MSMEs in the last few years
MSMEs, which are the backbone of the country’s economy and an employment provider to more than 114 million Indians, have gone through extremely challenging times during the past 3-5 years.
The fact remains that they have had to face one setback after another, such as those mentioned below:
• Demonetisation
• Flawed implementation of GST
• Economic slowdown in the real estate and auto sector
• Financial and banking crisis
• COVID-19
Signs of an impending decline are already visible. The sector has already begun to face a huge financial burden of unpaid salaries (which will ultimately result in loss of jobs), unpaid EMIs (which will severely affect the balance sheets of financial institutions), and eventual closure of such operations. Balance sheets that are loss-making do not allow MSMEs to obtain finance from banks or NBFCs (Non-Banking Financial Companies) as per norms by the RBI, thus resulting in an increased pileup of unsold inventory, entry into the arena of dead investments, and massive losses.
What is the future of MSMEs in India?
• Collateral-free automatic loans will provide small businesses with an opportunity to bounce back from the impact of the pandemic.
• The economic stimulus will help various MSMEs in resuming operations by offering access to credit to help in overcoming near term loss of income. This will further enable MSMEs to grow as well as maintain the continuity of business. The long-term focus on enabling MSMEs with state-of-the-art technology also offers a fantastic opportunity for businesses to thrive.
• Most logistics depend on the manufacturing sector. These options announced by the Government of India will enable them to resume business operations, thus also resuming the movement of goods, which, in turn, will benefit the logistics industry, as well.
• The MSME sector has faced a lingering problem in the form of delayed payment. To overcome this, the government announced that the Centre and the Central Public Sector Enterprises would honour every MSME receivable.
• Moreover, E-market linkage will also be provided to all MSMEs as a replacement to exhibitions and trade fairs. This economic stimulus will surely prove to be quite a game-changer for Indian businesses.
• The economic stimulus package is primarily focused on local shops, which are responsible for the generation of 40% of employment opportunities and the driver for more than 90% of retail commerce. This will ensure that the economy is restarted from its very foundations. Moreover, it will help in building a highly locally-driven shockproof system for the future, thus fulfilling the mission of “Atmanirbhar Bharat” or “Self-reliant India.”
• The government’s decision of barring global tenders from successfully procuring up to Rs 200 crores will eventually increase MSME registrations on several e-procurement sites. The Indian government’s e-procurement sites have largely been flooded by large, foreign players who bring an unfair advantage when it comes to pricing and size. MSMEs functioning as ancillary units (such as autos and infrastructure) lose the bids on smaller deals. This move should enhance the competitiveness of Indian MSMEs when it comes to government contracts. It must also see a significant increase in registrations by MSMEs and mid-market businesses on these platforms.
On a Final Note:
While the role played by MSMEs is frequently highlighted in the context of the generation of employment and contribution to economic growth as well as balanced regional development, it is crucial that these enterprises are highly sustainable and have the ability to deliver scale. Though contributing phenomenally to exports, MSMEs of India are still not regarded as formidable forces in international markets. When it comes to the future, the primary challenges lie in building the next generation of MSMEs that can successfully function as a powerhouse of the Indian economy. With fierce competition at the global level and the subsequent demands that have arisen due to globalisation, it is presently imperative for Indian MSMEs to demonstrate prominent levels of competitiveness, successfully position themselves strategically, and eventually leverage their engagement in global value chains or GVCs."
